1,0:00:00.000001
2,0:00:00.000003
1369,0:00:00.000004
2209,0:00:00.000005
2614,0:00:00.000006
4946,0:00:00.000008
9769,0:00:00.000009
10609,0:00:00.000010
10623,0:00:00.000012
18144,0:00:00.000016
19543,0:00:00.000017
20147,0:00:00.000019
36241,0:00:00.000020
36749,0:00:00.000021
37253,0:00:00.000022
44563,0:00:00.000031
77317,0:00:00.000032
85831,0:00:00.000033
85849,0:00:00.000034
86171,0:00:00.000035
86857,0:00:00.000036
94201,0:00:00.000047
94249,0:00:00.000049
94513,0:00:00.000052
97117,0:00:00.000053
101009,0:00:00.000054
102259,0:00:00.000055
108541,0:00:00.000056
109741,0:00:00.000057
145441,0:00:00.000065
146519,0:00:00.000066
146521,0:00:00.000068
166043,0:00:00.000071
167311,0:00:00.000073
184153,0:00:00.000076
185069,0:00:00.000080
202567,0:00:00.000082
203761,0:00:00.000085
214603,0:00:00.000086
216217,0:00:00.000089
232381,0:00:00.000095
243517,0:00:00.000096
250073,0:00:00.000097
347981,0:00:00.000104
348709,0:00:00.000119
513829,0:00:00.000147
513833,0:00:00.000151
513839,0:00:00.000157
624607,0:00:00.000160
864757,0:00:00.000181
864855,0:00:00.000219
880699,0:00:00.000456
881357,0:00:00.000504
896669,0:00:00.000584
1019399,0:00:00.000697
1188287,0:00:00.000721
3347768,0:00:00.000750
3386191,0:00:00.000943
3431933,0:00:00.000960
3632054,0:00:00.001019
3777601,0:00:00.001151
3925541,0:00:00.001154
7216151,0:00:00.001185
8160043,0:00:00.001319
8891093,0:00:00.001332
9426383,0:00:00.001393
9492827,0:00:00.001395
9859693,0:00:00.002396
20503429,0:00:00.002439
21652513,0:00:00.002553
23210263,0:00:00.002567
